"releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"64559701","YouTube","Bernie Sanders at the CBS News Democratic Debate","2015-11-15 21:20:33Z","http://www.youtube.com/watch?v=sC3q8U_DUyk","[debate]","[Bernie Sanders]","[]","[]","[]","","","","","8","Sen. Sanders, Bernard - (I – VT) Presidential Campaign ","Democrat","Male","True","Candidates > Presidential 2016","Undergraduate","Jewish","White","1941-09-08","Over 65","[Higher Education;Journalism;Trade - Carpenter]","","[Federal;Local]"
"64564625","YouTube","This Election Is A Generational Choice","2015-11-16 00:24:57Z","http://www.youtube.com/watch?v=Gx3gWQOJ7PM","[election;choice;generational choice]","[]","[]","[]","[]","","","","","10","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64589343","YouTube","Rand Paul Interviews Uber Driver, Christopher David","2015-11-16 15:37:59Z","http://www.youtube.com/watch?v=TLMA_6yi9a8","[driver;gear]","[Christopher David]","[]","[]","[]","","","","","51","Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"64589345","YouTube","Rand Paul Files for New Hampshire Primary","2015-11-16 15:39:39Z","http://www.youtube.com/watch?v=YsyoDKjIoqs","[gear;mankind;history of mankind]","[Paul Files]","[]","[New Hampshire;America]","[]","","","","","115","Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"64593037","YouTube","Mike Huckabee interview with Bret Baier FNC 11-14-15","2015-11-16 16:20:38Z","http://www.youtube.com/watch?v=LCZJP9jFmVw","[interview]","[Mike Huckabee;Bret Baier]","[]","[]","[]","","","","","8","Huckabee, Mike (R) Presidential Campaign ","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Protestant","White","1955-08-24","55-64","[Religious]","","[State]"
"64593035","YouTube","Congressman Steve King Endorses Ted Cruz for President","2015-11-16 16:32:59Z","http://www.youtube.com/watch?v=Pdiq9oOSRss","[]","[Steve King;Ted Cruz]","[]","[]","[]","","","","","8","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"64599291","YouTube","We Must Defeat Radical Islamists","2015-11-16 17:19:33Z","http://www.youtube.com/watch?v=G2P8bvrsYDE","[]","[]","[]","[]","[]","","","","","20","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64625171","YouTube","Ted Cruz Discusses Defeating Radical Islamic Terrorism with Hugh Hewitt","2015-11-16 23:43:08Z","http://www.youtube.com/watch?v=14czPTbpMkk","[]","[Hugh Hewitt;Ted Cruz]","[]","[]","[Terrorism]","","","","","11","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"64631013","YouTube","Marco Discusses Foreign Intelligence Gathering at Wall Street Journal Forum","2015-11-17 00:45:45Z","http://www.youtube.com/watch?v=MgJTbDSsBoY","[]","[]","[]","[]","[]","","","","","10","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64643847","YouTube","Terrorism Will Not Strike Fear in American Hearts | Bernie Sanders","2015-11-17 03:06:11Z","http://www.youtube.com/watch?v=sQapCcpjUnY","[fear;terrorist attacks;strike;strike fear;concerted international effort]","[Bernie Sanders]","[]","[Paris]","[Terrorism]","","","","","47","Sen. Sanders, Bernard - (I – VT) Presidential Campaign ","Democrat","Male","True","Candidates > Presidential 2016","Undergraduate","Jewish","White","1941-09-08","Over 65","[Higher Education;Journalism;Trade - Carpenter]","","[Federal;Local]"
"65090867","YouTube","Paid Family Leave Legislation | Bernie Sanders","2015-11-17 03:40:57Z","http://www.youtube.com/watch?v=enpRJEl7ZNU","[legislation;leave;family leave]","[Hillary Clinton;Bernie Sanders]","[]","[]","[]","","","","","30","Sen. Sanders, Bernard - (I – VT) Presidential Campaign ","Democrat","Male","True","Candidates > Presidential 2016","Undergraduate","Jewish","White","1941-09-08","Over 65","[Higher Education;Journalism;Trade - Carpenter]","","[Federal;Local]"
"64652119","YouTube","Contrast","2015-11-17 12:10:59Z","http://www.youtube.com/watch?v=i3uekruGZRc","[contrast]","[]","[]","[]","[]","","","","","1","Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"64654681","YouTube","John Kasich - ""For Strength. For Us.""","2015-11-17 13:31:41Z","http://www.youtube.com/watch?v=mbRWkF5dp-4","[battle;victory;steady hand;fight against terrorism]","[John Kasich]","[]","[America]","[Terrorism]","","","","","38","Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"64654683","YouTube","John Kasich - ""For Strength. For Us.""","2015-11-17 13:31:59Z","http://www.youtube.com/watch?v=nl5CcT2V7dU","[battle;victory;steady hand;fight against terrorism]","[John Kasich]","[]","[America]","[Terrorism]","","","","","38","Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"64654685","YouTube","John Kasich - ""For Strength. For Us.""","2015-11-17 13:32:12Z","http://www.youtube.com/watch?v=sJIMmp73Tzw","[battle;victory;steady hand;fight against terrorism]","[John Kasich]","[]","[America]","[Terrorism]","","","","","38","Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
